AAREN	AA R AH N
CHAOTICALLY	K EY AA T IH K AH L IY
CHAPBOOK	CH AE P B UH K
CHAPEAU	CH EY P IY UW
CHAPERON	SH AE P AH R OW N
CHAPERONAGE	SH AE P AH R OW N IH JH
CHAPERONED	SH AE P AH R OW N D
CHAPLAINCY	CH AE P L EY N S IY
CHAPLET	CH AE P L AH T
CHAPPED	CH AE P T
CHAPPING	CH AE P IH NG
CHARABANC	CH AE R AH B AH NG K
CHARACTERFUL	K AE R IH K T ER F AH L
CHARBROIL	CH AA R B R OY L
CHARIL	CH AE R AH L
CHARILY	CH AA R IY L IY
CHARIN	CH AA R IH N
CHARINESS	CH AA R IY N AH S
CHARIOTEER	CH AE R IY AH T IH R
CHARIS	CH AA R IY Z
CHARISMATA	CH AH R IH Z M AH T AH
CHARISSE	CH AE R AH S
CHARLADY	CH AA R L EY D IY
CHARLATANISM	SH AA R L AH T AH N IH Z AH M
CHARLATANRY	SH AA R L AH T AH N R IY
CHARLEAN	CH AA R L IY N
CHARLENA	CH AA R L AH N AH
CHARLOTTA	CH AA R L AA T AH
CHARMANE	CH AA R M EY N
CHARMIN	CH AA R M IH N
CHARMINE	CH AA R M AY N
CHARMLESS	CH AA R M L AH S
CHARO	CH AE R OW
CHAROLAIS	CH AH R AA L EY AH S
CHARTERER	CH AA R T ER ER
CHARTROOM	CH AA R T R UW M
CHARYBDIS	CH AH R IH B D AH S
CHASITY	CH EY S AH T IY
CHASTISEMENT	CH AE S T AY Z M AH N T
CHASTISER	CH AE S T AY Z ER
CHASUBLE	CH AH S UW B AH L
CHATEAUS	SH AE T OW Z
CHATTERBOX	CH AE T ER B AA K S
CHATTERER	CH AE T ER ER
CHATTERLEY	CH AE T AH R L IY
CHATTILY	CH AE T IY L IY
CHATTINESS	CH AE T IY N AH S
CHAYEFSKY	CH EY EH F S IY
CHEAPISH	CH IY P IH SH
CHECKABLE	CH EH K AH B AH L
CHECKROOM	CH EH K R UW M
CHECKSUM	CH EH K S AH M
CHECKSUMMED	CH EH K S AH M D
CHECKSUMMING	CH EH K S AH M IH NG
CHEEKILY	CH IY K IY L IY
CHEEKINESS	CH IY K IY N AH S
CHEEP	CH IY P
CHEERER	CH IH ER ER
CHEERFULLER	CH IH ER F AH L ER
CHEERFULLEST	CH IH ER F AH L AH S T
CHEERILY	CH IH ER IY L IY
CHEERINESS	CH IH ER IY N AH S
CHEERLESS	CH IH ER L AH S
CHEESECLOTH	CH IY Z K L AO TH
CHEESECLOTHS	CH IY Z K L AO TH S
CHEESEPARING	CH IY Z P EH R IH NG
CHEESINESS	CH IY Z IY N AH S
CHEETO	CH IY T OW
CHEFFED	SH EH F T
CHEFFING	SH EH F IH NG
CHELATE	CH IY L EY T
CHELATION	CH IY L EY SH AH N
CHELSAE	CH EH L S IY
CHELSEY	CH EH L Z IY
CHELSIE	CH EH L S AY
CHELSY	CH EH L Z IY
CHEMIC	K EH M AH K
CHEMURGY	K AH M AH R JH IY
CHENILLE	CH EH N AH L
CHEOPS	CH IY AH P S
CHERE	CH IH R
CHEREY	CH IY R IY
CHERIANNE	CH IY R IY AH N
CHERICE	CH IY R AH S
CHERIDA	CH EH R AH D AH
CHERILYN	CH EH R AH L AH N
CHERILYNN	CH EH R AH L AH N
CHERIN	CH EH R AH N
CHERISE	CH AH R AY Z
CHERISHER	CH EH R IH SH ER
CHERITON	CH EH R AH T AH N
CHERLYN	CH AH R L AH N
CHEROOT	CH AH R UW T
CHERRI	CH EH R IY
CHERRITA	CH EH R AH T AH
CHERUBIM	CH EH R AH B IH M
CHERVIL	CH AH R V AH L
CHERYE	CH EH R AY
CHESLIE	CH EH Z L AY
CHESSMEN	CH EH S M EH N
CHESTFUL	CH EH S T F AH L
CHESTY	CH EH S T IY
CHEWINESS	CH UW IY N AH S
CHIAROSCURO	CH AY AH R AA S Y AH R OW
CHIARRA	CH AY AE R AH
CHICANA	CH IH K AH N AH
CHICANE	CH AH K EY N
CHICKENFEED	CH IH K AH N F IY D
CHICKENPOX	CH IH K AH N P AA K S
CHICKIE	CH IH K IY
CHICKPEA	CH IH K P IY
CHICKWEED	CH IH K W IY D
CHICKY	CH IH K IY
CHICLE	CH AY K AH L
CHICNESS	SH IY K N AH S
CHICORY	CH IY K OW R IY
CHIFFONIER	CH IH F AA N AY AH R
CHIGGER	CH IH G ER
CHIGNON	SH IY N Y AA N
CHILDBIRTHS	CH AY L D B ER TH S
CHILDES	CH IH L D Z
CHILDISHNESS	CH AY L D IH SH N AH S
CHILDMINDERS	CH AY L D M AY N D ER Z
CHILDPROOF	CH AY L D P R UW F
CHILDREARING	CH AY L D R IH ER IH NG
CHILLINESS	CH IH L IY N AH S
CHILLNESS	CH IH L N AH S
CHIMAERICAL	CH IH M AH R IH S AH L
CHIMBORAZO	CH IH M B AO R AH Z OW
CHIMER	CH AY M ER
CHIMERIC	CH AY M ER IH K
CHIMIQUES	CH IH M AH K S
CHIMU	CH IH M UW
CHINAMEN	CH AY N AH M EH N
CHINE	CH AY N
CHINLESS	CH IH N L AH S
CHINNED	CH IH N D
CHINNER	CH IH N ER
CHINSTRAP	CH IH N S T R AE P
CHINTZ	CH IH N T S
CHIPEWYAN	CH IH P Y UW AY AH N
CHIQUIA	CH IH K W IY AH
CHIRAL	CH AY R AH L
CHIROGRAPHY	CH AH R AA G R AH F IY
CHIROPODIST	CH AH R AA P AH D AH S T
CHIROPODY	CH AH R AA P AH D IY
CHIRRUP	CH AH R AH P
CHISELER	CH IH Z AH L ER
CHISINAU	CH IH S AH N AH
CHITCHATTED	CH AH CH AE T AH D
CHITCHATTING	CH AH CH AE T AH NG
CHITIN	CH IH T AH N
CHITTAGONG	CH IH T AH G AH NG
CHIVALRIC	SH IH V AH L R IH K
CHIVALROUS	SH IH V AH L R AH S
CHIVALROUSLY	SH IH V AH L R AH S L IY
CHIVE	CH AY V
CHIVVY	CH IH V IY
CHIVYING	CH IH V IY IH NG
CHLOETTE	K L OW EH T
CHLORAL	K L AO R AH L
CHLORINATES	K L OW R IY N AH T S
CHLORINATION	K L OW R IY N EY SH AH N
CHLOROQUINE	K L AO R AH K W AY N
CHOCOHOLIC	CH AA K AH HH AH L AH K
CHOCOLATY	CH AA K L AH T IY
CHOCTAW	CH AA K T AH
CHOICENESS	CH OY S N AH S
CHOIRBOY	K W AY ER B OY
CHOIRMASTER	K W AY ER M AE S T ER
CHOKEBERRY	CH OW K B EH R IY
CHOKECHERRY	CH OW K CH EH R IY
CHOKER	CH OW K ER
CHOLER	CH OW L AH R
CHOLINE	CH AH L AY N
CHOMSKY	CH AA M S IY
CHOOSER	CH UW Z ER
CHOOSINESS	CH UW Z IY N AH S
CHOPHOUSE	CH AA P HH AW S
CHOPPILY	CH AA P IY L IY
CHOPPINESS	CH AA P IY N AH S
CHORDAL	K AO R D AH L
CHORDATA	CH AO R D AH T AH
CHORDATE	K AO R D AH T
CHORDING	K AO R D IH NG
CHOREA	CH AO R IY AH
CHOREOGRAPHS	K OW R IY AH G R AE F S
CHORINES	CH AH R AY N Z
CHORION	CH OW R IY AH N
CHORISTER	CH OW R IY S T ER
CHOROID	CH AH R OY D
CHORTLER	CH AO R T AH L ER
CHRISM	K R IH Z AH M
CHRISSAKE	K R IH S EY K
CHRISSE	K R IH S
CHRISTABEL	K R IH S T AH B AH L
CHRISTABELLA	K R IH S T AH B EH L AH
CHRISTALLE	K R IH S T AH L
CHRISTAN	K R IH S T AH N
CHRISTEAN	K R AY S T IY AH N
CHRISTIN	K R IH S T AH N
CHRISTLIKE	K R IH S T L AY K
CHRISTOFFER	K R IH S T AA F AH R
CHRISTOFORO	K R IH S T AA F AH R OW
CHRISTOPER	K R IH S T OW P AH R
CHRISTOS	K R IH S T AH Z
CHRISTYE	K R IH S T AY
CHRISTYNA	K R IH S T AH N AH
CHRISY	K R AY Z IY
CHROMA	K R AA M AH
CHROMATE	K R OW M AH T
CHROMATIC	K R OW M AE T IH K
CHROMATICISM	K R OW M AE T IH K IH Z AH M
CHROMATICS	K R OW M AE T IH K S
CHROMATIN	K R AA M AH T AH N
CHROMIC	K R OW M IH K
CHROMITE	K R AH M AY T
CHROMOSOMAL	K R AH M AA S AH M AH L
CHROMOSPHERE	K R AH M AA S AH R
CHRONOGRAPH	K R AH N AA G R AH F
CHRONOGRAPHS	K R AH N AA G R AH F S
CHRONOGRAPHY	K R AH N AA G R AH F IY
CHRONOLOGIST	K R AH N AA L AH JH AH S T
CHRONOMETER	K R OW N AA M AH T AH R
CHRONOMETRIC	K R AA N AH M AH T R AH K
CHROTOEM	K R AA T OW AH M
CHRYSA	K R IH S AH
CHRYSALIDS	K R IH S AH L AH D Z
CHRYSOSTOM	K R AH S AA S T AH M
CHRYSTE	K R IH S T
CHRYSTEL	K R IH S T AH L
CHUB	CH AH B
CHUBBINESS	CH AH B IY N AH S
CHUCHO	CH AH CH OW
CHUCKHOLE	CH AH K HH OW L
CHUFF	CH AH F
CHUMASH	CH AH M AE SH
CHUMMILY	CH AH M IY L IY
CHUMMINESS	CH AH M IY N AH S
CHUMMING	CH AH M IH NG
CHUMPING	CH AH M P IH NG
CHUNKINESS	CH AH NG K IY N AH S
CHUNTERING	CH AH N T IY R AH NG
CHURCHILLIAN	CH AH R CH IH L IY AH N
CHURCHLINESS	CH ER CH L IY N AH S
CHURCHLY	CH ER CH L IY
CHURCHWARDEN	CH ER CH W ER D AH N
CHURCHWOMAN	CH ER CH W UH M AH N
CHURCHWOMEN	CH ER CH W IH M AH N
CHURL	CH AH R L
CHURLISHNESS	CH AH R L IH SH N AH S
CHURNER	CH ER N ER
CHUTZPA	CH AH T S AH
CHUTZPAHS	CH AH T S AH Z
CHUVASH	CH UW V AH SH
CHYME	CH AY M
CHÃ‚TEAU	CH T IY UW
CHÃ‚TEAUX	CH T IY AH K S
CHÃ‚TELAINE	CH T AH L EY N
CICATRICE	S AH K AE T R AH S
CICERONI	S AH S EH R AH N IY
CICERONIAN	S IH S AH R OW N IY AH N
CIGARILLO	S IH G AH R IH L OW
CILIA	S IH L Y AH
CILIATE	S IH L IY EY T
CILIATELY	S IH L IY EY T L IY
CILIUM	S IH L IY AH M
CILKA	S IH L K AH
CINCHONA	S IH NG K AH N AH
CINCTURE	S IH NG K T Y AH R
CINDA	S IH N D AH
CINDEE	S AY N D IY IY
CINDELYN	S IH N D AH L AH N
CINDI	S IH N D IY
CINDRA	S IH N D R AH
CINE	S AY N
CINERAMA	S AH N EH R AH M AH
CIPHERED	S AY F ER D
CIPHERS	S AY F ER Z
CIRCE	S AH R S
CIRCLER	S ER K AH L ER
CIRCLET	S AH R K L AH T
CIRCUITAL	S ER K AH T AH L
CIRCUITY	S ER K AH T IY
CIRCULANT	S ER K Y AH L AH N T
CIRCULARITY	S ER K Y AH L AE R AH T IY
CIRCULARNESS	S ER K Y AH L ER N AH S
CIRCULATIVE	S ER K Y AH L AH T IH V
CIRCUMFLEX	S ER K AH M F L EH K S
CIRCUMPOLAR	S ER K AH M P OW L ER
CIRCUMSPHERE	S ER K AH M S F IH ER
CIRILO	S IH R AH L OW
CIRRHOSES	S AH R OW Z AH Z
CIRRHOTIC	S AH R AH T AH K
CIRRI	S AH R IY
CISSIEE	S IH S AY IY IY
CISSY	S IH S IY
CITIFIED	S AY T AH F AY D
CITRATE	S IH T R EY T
CITYSCAPE	S IH T IY S K EY P
CIVILIZER	S IH V AH L AY Z ER
CIVILIZES	S IH V AH L AY Z IH Z
CIVVIES	S IH V AY Z
CLADDING	K L AE D IH NG
CLADS	K L AE D Z
CLAIMABLE	K L EY M AH B AH L
CLAIMER	K L EY M ER
CLAMBAKE	K L AE M B EY K
CLAMBERER	K L AE M B ER ER
CLAMMILY	K L AE M IY L IY
CLAMMINESS	K L AE M IY N AH S
CLAMMING	K L AE M IH NG
CLAMORER	K L AE M ER ER
CLAMOROUS	K L AE M ER AH S
CLAMPER	K L AE M P ER
CLANGER	K L AE NG ER
CLANGOR	K L AE NG ER
CLANGOROUS	K L AE NG ER AH S
CLANNISHNESS	K L AE N IH SH N AH S
CLANSMAN	K L AE N Z M AE N
CLANSMEN	K L AE N Z M EH N
CLAPEYRON	K L EY P EY R AH N
CLAPTRAP	K L AE P T R AE P
CLAQUE	K L AE K
CLARANCE	K L AE R AH N S
CLARET	K L AE R AH T
CLARETA	K L AE R AH T AH
CLARETTA	K L AH R EH T AH
CLARI	K L AE R IY
CLARIE	K L AE R IY
CLARIFIER	K L AE R AH F AY ER
CLARITIES	K L AE R AH T IY Z
CLASHER	K L AE SH ER
CLASPER	K L AE S P ER
CLASSER	K L AE S ER
CLASSIFIER	K L AE S AH F AY ER
CLASSINESS	K L AE S IY N AH S
CLASSWORK	K L AE S W ER K
CLATTERER	K L AE T ER ER
CLATTERY	K L AE T ER IY
CLAUDELL	K L AO D AH L
CLAUDELLE	K L AO D AH L
CLAUDETTA	K L AH D EH T AH
CLAUDIANUS	K L AH D IY AH N AH S
CLAUSAL	K L AO Z AH L
CLAUSEWITZ	K L AO S UW AH T S
CLAUSIUS	K L AO S AY AH S
CLAVE	K L EY V
CLAVIER	K L AE V AY AH R
CLAWER	K L AO ER
CLAYIER	K L EY IY ER
CLAYIEST	K L EY IY AH S T
CLEANABLE	K L IY N AH B AH L
CLEARHEADED	K L IH ER HH EH D IH D
CLEARWAY	K L IH ER W EY
CLEAVLAND	K L IY V L AH N D
CLEMENCEAU	K L AH M EH N S IY UW
CLEMENTINA	K L AH M EH N T AH N AH
CLEMENTIUS	K L AH M EH N T AY AH S
CLENCHING	K L EH N CH IH NG
CLEON	K L IY AH N
CLERESTORY	K L IY R AH S T AO R IY
CLERGYWOMAN	K L ER JH IY W UH M AH N
CLERGYWOMEN	K L ER JH IY W IH M AH N
CLERICALISM	K L EH R IH K AH L IH Z AH M
CLERKSHIP	K L ER K SH IH P
CLETIS	K L IY T AH S
CLETUS	K L IY T AH S
CLEVEY	K L IY V IY
CLEW	K L UW
CLICHÃ‰	K L IH CH
CLICHÃ‰D	K L IH CH D
CLIENTÃˆLE	K L IY N T AH L
CLIFFHANGING	K L IH F HH AE NG IH NG
CLIMACTERIC	K L AH M AE K T AH R AH K
CLIMATICALLY	K L AY M AH T IH K AH L IY
CLIMATOLOGY	K L AY M AH T AA L AH JH IY
CLIMBABLE	K L AY M AH B AH L
CLIMBDOWN	K L AY M D AW N
CLIME	K L AY M
CLINGY	K L IH NG IY
CLINKER	K L IH NG K ER
CLINOMETER	K L AY N AA M AH T AH R
CLIOMETRIC	K L AY AH M AH T R AH K
CLIQUEY	K L IY K IY
CLIQUIER	K L IY K IY ER
CLIQUIEST	K L IY K IY AH S T
CLIQUISH	K L IY K IH SH
CLIQUISHNESS	K L IY K IH SH N AH S
CLOACA	K L OW K AH
CLOACAE	K L OW K IY
CLOCHE	K L AA CH
CLOCKMAKER	K L AA K M EY K ER
CLOCKWATCHER	K L AA K W AA CH ER
CLODDED	K L AA D IH D
CLODDING	K L AA D IH NG
CLODDISH	K L AA D IH SH
CLODDISHNESS	K L AA D IH SH N AH S
CLODHOPPER	K L AA D HH AA P ER
CLOISONNES	K L OY S AH N Z
CLOISONNÃ‰	K L OY S AH N
CLOISTRAL	K L OY S T R AH L
CLOMP	K L AA M P
CLONAL	K L OW N AH L
CLONK	K L AO NG K
CLOP	K L AA P
CLOPPED	K L AA P T
CLOPPING	K L AA P AH NG
CLORIS	K L AO R AH S
CLOSEFISTED	K L OW Z F IH S T IH D
CLOSEMOUTHED	K L OW Z M AW TH T
CLOSEOUT	K L OW Z AW T
CLOSERS	K L OW Z ER Z
CLOSURED	K L OW ZH ER D
CLOSURING	K L OW ZH ER IH NG
CLOTHBOUND	K L AO TH B AW N D
CLOTHESBRUSH	K L OW DH Z B R AH SH
CLOTHESLINE	K L OW DH Z L AY N
CLOTHESMAN	K L OW DH Z M AE N
CLOTHESMEN	K L OW DH Z M EH N
CLOTHESPIN	K L OW DH S P IH N
CLOTHO	K L AA TH OW
CLOUDSCAPE	K L AW D S K EY P
CLOVE	K L OW V
CLOVEN	K L OW V AH N
CLOWNISH	K L AW N IH SH
CLOWNISHNESS	K L AW N IH SH N AH S
CLUBFEET	K L AH B F IY T
CLUBFOOT	K L AH B F UH T
CLUBROOM	K L AH B R UW M
CLYTEMNESTRA	K L IH T AH M N EH S T R AH
CLYWD	K L IH W D
CNIDARIAN	K N AY D EH R IY AH N
COACHER	K OW CH ER
COACHMEN	K OW CH M EH N
COACHWORK	K OW CH W ER K
COADJUTOR	K OW AE JH Y UW T AH R
COAGULABLE	K OW AE G Y AH L AH B AH L
COAGULANT	K OW AE G Y AH L AH N T
COAGULATOR	K OW AE G Y AH L AH T ER
COALER	K OW L ER
COALESCENT	K OW AH L EH S AH N T
COALFACE	K OW L F EY S
COALFIELD	K OW L F IY L D
COALITIONIST	K OW AH L IH SH AH N IH S T
COALMINERS	K OW L M AY N ER Z
COARSEN	K OW R S AH N
COARSENESS	K OW R S N AH S
COASTGUARD	K OW S T G AA R D
COATTEST	K OW AH T EH S T
COAXER	K OW K S ER
COBBED	K AA B D
COBBIE	K AA B AY
COBBING	K AA B AH NG
COBBY	K AA B IY
COBWEBBED	K AA B W EH B D
COBWEBBING	K AA B W EH B IH NG
COBWEBBY	K AA B W EH B IY
COCCI	K AA K S IY
COCCYGES	K AA K S AY JH AH Z
COCCYX	K AA K S IH K S
COCHABAMBA	K OW CH AH B AE M B AH
COCHINEAL	K OW CH AY N AH L
COCHISE	K OW CH AY Z
COCHLEAE	K OW K L IY
COCTEAU	K AA K T IY UW
CODDED	K AA D IH D
CODDLER	K AA D AH L ER
CODEBOOK	K OW D IY B UH K
CODEBREAK	K OW D IY B R EY K
CODEE	K OW D IY
CODEINE	K OW D IY IH N
CODENAME	K OW D IY N EY M
CODEPENDENCY	K OW D IH P EH N D AH N S IY
CODEPENDENT	K OW D IY P EH N D EH N T
CODETERMINE	K OW D AH T ER M AH N
CODEWORD	K OW D IY W ER D
CODEX	K OW D EH K S
CODFISH	K AA D F IH SH
CODGER	K AA JH AH R
CODICES	K OW D AY S IH Z
CODICIL	K OW D IH S AH L
CODIE	K OW D AY
CODIFIER	K OW D AH F AY ER
CODLING	K AA D L IH NG
CODPIECE	K AA D P IY S
COEDITED	K OW EH D AH T IH D
COEDITING	K OW EH D AH T IH NG
COEDITOR	K OW EH D AH T ER
COEDITS	K OW EH D AH T S
COEDUCATION	K OW EH JH AH K EY SH AH N
COELENTERATE	K OW AH L EH N T AH R EY T
COERCER	K OW ER S ER
COERCIBLE	K OW ER S AH B AH L
COERCIVENESS	K OW ER S IH V N AH S
COEVAL	K OW IY V AH L
COEXISTENT	K OW EH G Z IH S T AH N T
COEXTENSIVE	K OW IH K S T EH N S IH V
COFACTOR	K OW F AE K T ER
COFFEECAKE	K AO F IY K EY K
COFFEECUP	K AO F IY K AH P
COFFEEMAKER	K AO F IY M EY K ER
COFFEEPOT	K AO F IY P AA T
COFFERDAM	K AO F ER D AE M
COGGED	K AA G D
COGGING	K AA G IH NG
COGITATOR	K OW JH AH T EY T AH R
COGNATE	K AA G N EY T
COGNATION	K AA G N EY SH AH N
COGNITIONAL	K AH N AH T IY AH N AH L
COGNIZABLE	K AA G N AY Z AH B AH L
COGNIZANCES	K AA G N AH Z AH N S IH Z
COGNOMEN	K OW N OW M AH N
COGNOSCENTE	K AH N AA S AH N T
COGWHEEL	K AA G W IY L
COHABITANT	K OW HH AE B AH T AH N T
COHEIR	K OW EH R
COHERENCIES	K OW HH IH ER AH N S IY Z
COHERENCY	K OW HH IH ER AH N S IY
COHERER	K OW HH IH ER ER
COHOES	K OW HH OW Z
COIFFING	K OW IH F AH NG
COIFFURE	K W AA F Y UH R
COIMBATORE	K OW IH M B AE T OW R
COINTON	K OY N T AH N
COITAL	K OW AY T AH L
COL	K AA L
COLATITUDE	K OW L AE T AH T UW D
COLDBLOODED	K OW L D B L AH D IH D
COLDISH	K OW L D IH SH
COLENE	K OW L IY N
COLET	K OW L EH T
COLFAX	K AA L F AE K S
COLIC	K OW L IH K
COLICKY	K AA L AH K IY
COLITIS	K OW L AH T IY Z
COLLARLESS	K AA L ER L AH S
COLLATED	K AH L EY T IH D
COLLATION	K AH L EY SH AH N
COLLATOR	K AH L EY T ER
COLLECTIVITY	K AA L IH K T IH V AH T IY
COLLETE	K AA L IY T
COLLIERY	K AA L IY AH R IY
COLLIMATE	K AA L AH M EY T
COLLIMATED	K AA L AH M EY T IH D
COLLIMATES	K AA L AH M EY T S
COLLIMATING	K AA L AH M EY T IH NG
COLLIMATION	K AA L AH M EY SH AH N
COLLIMATOR	K AA L AH M EY T ER
COLLINE	K AA L AY N
COLLINEAR	K AA L AY N IY AH R
COLLINEARITY	K AA L AH N IY R AH T IY
COLLOCATE	K AA L AH K EY T
COLLOQUIES	K AA L AH K W IY Z
COLLYING	K AA L AY AH NG
COLONELCY	K OW L AH N EH L S IY
COLONIZES	K AA L AH N AY Z IH Z
COLOPHON	K OW L AA F AH N
COLORADOAN	K OW L AH R AE D OW AH N
COLORANT	K AH L ER AH N T
COLORER	K AH L ER ER
COLORFULNESS	K AH L ER F AH L N AH S
COLORIMETER	K OW L AH R IH M AH T AH R
COLORIMETRY	K OW L AO R AH M EH T R IY
COLOSSI	K OW L AA S IY
COLOSTOMY	K OW L AA S T AH M IY
COLOSTRUM	K OW L AO S T R AH M
COLTISH	K OW L T IH SH
COLTISHNESS	K OW L T IH SH N AH S
COLUMNAR	K AA L AH M ER
COLUMNIZE	K AA L AH M AY Z
COMAE	K AH M EH
COMAKER	K OW M EY K ER
COMBINATOR	K AH M B AY N EY T ER
COMBINATORIC	K AH M B AY N EY T ER IH K
COMBINER	K AH M B AY N ER
COMBUSTED	K AH M B AH S T IH D
COMBUSTIBLE	K AH M B AH S T AH B AH L
COMBUSTIVE	K AH M B AH S T IH V
COMDR	K AA M D R
COMELINESS	K AH M L IY N AH S
COMESTIBLE	K AH M AH S T AH B AH L
COMFIT	K AH M F IH T
COMICALITY	K AA M IH K AH L AH T IY
COMINFORM	K AH M IH N F AO R M
COMMEMORATOR	K AH M EH M ER AH T ER
COMMENCER	K AH M EH N S ER
COMMENDABLY	K AH M EH N D AH B L IY
COMMENDATORY	K AH M EH N D AH T OW R IY
COMMENDER	K AH M EH N D ER
COMMENTATE	K AH M EH N T AH T
COMMISSARIAT	K AA M AH S AE R IY AH T
COMMITTABLE	K AH M IH T AH B AH L
COMMITTALS	K AH M IH T AH L Z
COMMITTEEMEN	K AH M IH T IY M EH N
COMMODES	K AH M OW D Z
COMMONALTY	K AA M AH N AE L T IY
COMMONNESS	K AA M AH N AH S
COMMONWEAL	K AA M AH N W IY L
COMMUNALITY	K AH M Y UW N AH L AH T IY
COMMUNICABLY	K AH M Y UW N AH K AH B L IY
COMMUNICANT	K AH M Y UW N AH K AH N T
COMMUNISTIC	K AA M Y AH N IH S T IH K
COMMUTABLE	K AH M Y UW T AH B AH L
COMMUTATIVE	K AH M Y UW T AH T IH V
COMMUTATOR	K AH M Y UW T AH T ER
COMPACTION	K AH M P AE K SH AH N
COMPARER	K AH M P EH R ER
COMPATIBLY	K AH M P AE T AH B L IY
COMPEER	K AH M P IH ER
COMPELLABLE	K AH M P EH L AH B AH L
COMPENDIOUS	K AH M P EH N D AY AH S
COMPENSATOR	K AA M P AH N S EY T ER
COMPILABLE	K AH M P AY L AH B AH L
COMPLACENCE	K AH M P L EY S AH N S
COMPLAISANCE	K AH M P L EY S AH N S
COMPLECTED	K AA M P L EH K T AH D
COMPLEMENTER	K AA M P L AH M AH N T ER
COMPLETER	K AH M P L IY T ER
COMPLEXIONAL	K AH M P L EH K SH AH N AH L
COMPLEXNESS	K AH M P L EH K S N AH S
COMPLICATOR	K AA M P L AH K AH T ER
COMPLIER	K AH M P L AY ER
COMPLIMENTER	K AA M P L AH M AH N T ER
COMPOSEDNESS	K AH M P OW Z AH D N AH S
COMPOSITOR	K AH M P AA Z AH T ER
COMPOUNDER	K AH M P AW N D ER
COMPRESSIBLE	K AH M P R EH S AH B AH L
COMPRESSIVE	K AH M P R EH S IH V
COMPULSIVITY	K AH M P AH L S IH V AH T IY
COMPULSORILY	K AH M P AH L S ER IY L IY
COMPUTABLE	K AH M P Y UW T AH B AH L
COMPUTABLY	K AH M P Y UW T AH B L IY
COMPUTERESE	K AA M P Y UW T AH R IY Z
COMRADELY	K AA M R AE D L IY
COMRADESHIP	K AA M R AE D SH IH P
COMTE	K AA M T IY
CONAKRY	K AH N AE K R IY
CONCAVENESS	K AA N K EY V N AH S
CONCEALER	K AH N S IY L ER
CONCEIVER	K AH N S IY V ER
CONCENTRATOR	K AA N S AH N T R EY T ER
CONCEPTIONAL	K AA N S EH P SH AH N AH L
CONCERTIZE	K AH N S ER T AY Z
CONCETTA	K AA N S EH T AH
CONCETTINA	K AA N S EH T AH N AH
CONCHS	K AA N CH S
CONCILIAR	K AH N S IH L IY ER
CONCILIATE	K AH N S IH L IY EY T
CONCISENESS	K AH N S AY S N AH S
CONCISION	K AH N S AY ZH AH N
CONCLUDER	K AH N K L UW D ER
CONCOCTER	K AH N K AA K T ER
CONCORDANCE	K AH N K AO R D AH N S
CONCORDANT	K AH N K AO R D AH N T
CONCORDAT	K AA N K AH R D AE T
CONCORDIA	K AA N K AH R D AY AH
CONCRETENESS	K AA N K R IY T N AH S
CONCRETION	K AA N K R IY SH AH N
CONCUSS	K AH N K AH S
CONDEMNATE	K AH N D EH M AH T
CONDEMNATORY	K AH N D EH M N AH T OW R IY
CONDEMNER	K AH N D EH M ER
CONDENSIBLE	K AH N D EH N S AH B AH L
CONDIGN	K AA N D IH N
CONDITIONALS	K AH N D IH SH AH N AH L Z
CONDOLE	K AH N D OW L
CONDONER	K AH N D OW N ER
CONDORCET	K AA N D AO R S AH T
CONDUCE	K AH N D UW S
CONDUCTANCE	K AA N D AH K T AH N S
CONDUCTIBLE	K AA N D AH K T AH B AH L
CONDUCTRESS	K AA N D AH K T R AH S
CONFAB	K AA N F AE B
CONFABBED	K AA N F AE B D
CONFABBING	K AA N F AE B AH NG
CONFABULATE	K AH N F AE B Y AH L AH T
CONFERRABLE	K AH N F ER AH B AH L
CONFERRAL	K AH N F ER AH L
CONFERRER	K AH N F ER ER
CONFESSOR	K AH N F EH S ER
CONFIDER	K AH N F AY D ER
CONFINER	K AH N F AY N ER
CONFISCATOR	K AA N F AH S K EY T ER
CONFORMABLE	K AH N F AO R M AH B AH L
CONFORMAL	K AH N F AO R M AH L
CONFORMER	K AH N F AO R M ER
CONFORMISM	K AH N F AO R M IH Z AH M
CONFORMITIES	K AH N F AO R M AH T IY Z
CONFRONTER	K AH N F R AH N T ER
CONFRÃˆRE	K AA N F R
CONFUSEDNESS	K AH N F Y UW Z AH D N AH S
CONFUTATION	K AH N F Y UW T EY SH AH N
CONFUTE	K AH N F Y UW T
CONFUTER	K AH N F Y UW T ER
CONGEALMENT	K AH N JH IY L M AH N T
CONGERIES	K AA N JH AH R AY Z
CONGREVE	K AA N G R IY V
CONGRUENCES	K AH N G R UW AH N S IH Z
CONGRUENCY	K AH N G R UW AH N S IY
CONGRUENT	K AH N G R UW AH N T
CONGRUENTIAL	K AH N G R UW AH N T IY AH L
CONGRUOUS	K AA NG G R AH W AH S
CONICALNESS	K AA N IH K AH L N AH S
CONJECTURAL	K AH N JH EH K CH ER AH L
CONJECTURER	K AH N JH EH K CH ER ER
CONJOINT	K AH N JH OY N T
CONJUGACY	K AA N JH IH G AH S IY
CONJUNCT	K AA N JH AH NG K T
CONJUNCTIVE	K AH N JH AH NG K T IH V
CONJURATION	K AH N JH UH R EY SH AH N
CONJURER	K AH N JH UH R ER
CONKER	K AO NG K AH R
CONMAN	K AH N M AE N
